text,user,created_at,timestamp,geo,lang
wie denk jij dat wint man utd of southampton @Nielsimanse,zoeycoenen,2015-09-26 14:00:03,1443276003622,,nl
"KICK-OFF! @SouthamptonFC 0 #Swans 0
An the #Swans get the first half underway at St Mary's.
#SOUSWA http://t.co/kXz8a6qehX",SwansOfficial,2015-09-26 14:00:03,1443276003743,,en
KICK OFF Southampton v Swansea #SOUSWA #saintsfc #swans #EPL,HITCsportLive,2015-09-26 14:00:05,1443276005296,,en
"Southampton vs Swansea City
http://t.co/OkrHwG3DwH",lebanonsports,2015-09-26 14:00:06,1443276006069,,en
Southampton ML. Over 2.5.,J0nathanSanchez,2015-09-26 14:00:07,1443276007571,,en
"Southampton VS Swansea

Live Stream : http://t.co/4gMwt5Ad0I

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",sewimkayaa,2015-09-26 14:00:08,1443276008715,,en
Pretty rad party last night... seeing @state_champs in Southampton today! 😁 https://t.co/M2EAt9Sk3X,charleyzard_,2015-09-26 14:00:09,1443276009411,,en
LIVE: Southampton v Swansea http://t.co/sIJZuODdYt,luv_2mise,2015-09-26 14:00:10,1443276010492,,en
Study at @UWTSD Swansea &amp; live off campus? Get recycling bags @ Mount Pleasant SU offices #GetItSorted @TSDSUSwansea http://t.co/JWggSRHdng,Recycle4Swansea,2015-09-26 14:00:10,1443276010895,,en
LIVE: Southampton v Swansea http://t.co/j6b95FdkUk,MuhammadGenta_S,2015-09-26 14:00:11,1443276011241,,en
LIVE: Southampton v Swansea http://t.co/IY19n7TldD,el_izrel,2015-09-26 14:00:11,1443276011370,,en
LIVE: Southampton v Swansea http://t.co/FMFrzUC2oR,iam_sotex,2015-09-26 14:00:11,1443276011474,,en
LIVE: Southampton v Swansea http://t.co/MLRj5dhfZI,lanremilan,2015-09-26 14:00:14,1443276014220,,en
Southampton F.C. - Swansea City A.F.C. Maçı Canlı Yayında... http://t.co/Sn1H3LXHuC #link #fakirelink #canlı #maç #yayını,macmaca_,2015-09-26 14:00:14,1443276014757,,tr
#Southampton v #Swansea is now on SwitchPlayed. Play along live at: http://t.co/OKuE6Fh6KC.,SnapBet_HQ,2015-09-26 14:00:15,1443276015922,,en
"KICK-OFF:
Leicester vs Arsenal
Liverpool vs Aston Villa
Man Utd vs Sunderland
Saints vs Swansea
Stoke vs Bournemouth
West Ham vs Norwich",BPLZone,2015-09-26 14:00:17,1443276017517,,en
LIVE: Southampton v Swansea http://t.co/XqTQR6mtAK,AsreKhan_,2015-09-26 14:00:19,1443276019520,,en
"Inician los partidos!!

Leicester - Arsenal
West Ham - Norwich
Stoke - Bournemouth
Man United - Sunderland
Soton - Swansea
Liverpool - Villa",EPL_es,2015-09-26 14:00:20,1443276020680,,en
Kick-off any second St Mary's. The #Swans with a diamond in midfield: http://t.co/pNP0KSsJSw http://t.co/MQquK7cwxC,SwanseaCityLive,2015-09-26 14:00:22,1443276022746,,en
#Swans in a 4-4-2 Diamond with Gomis and Ayew as strikers. Expect something interesting... #SOUSWA #Saints #BPL,MarkovicNeb,2015-09-26 14:00:23,1443276023212,,en
Southampton v Swansea City #saintsfc @ St Mary's Stadium https://t.co/TBUP5hvgap,SteveGrant1983,2015-09-26 14:00:23,1443276023636,"{u'type': u'Point', u'coordinates': [50.90583333, -1.39111111]}",en
Sırada Southampton. #SaintsFc,UsengecOdunn,2015-09-26 14:00:24,1443276024135,,tr
now time for swansea to do me proud too,_staceylouise,2015-09-26 14:00:27,1443276027742,,en
"1' - Bola rolando em St. Mary's para Southampton v Swansea. Come on, #saintsfc! | (0x0) #SOUSWA",SouthamptonBRA,2015-09-26 14:00:29,1443276029309,,en
"Southampton VS Swansea

Live Stream : http://t.co/2SlSS2ePrJ

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",ayseugg,2015-09-26 14:00:29,1443276029868,,en
"Swansea XI vs. Southampton: Fabianski; Naughton, Williams, Fernandez, Taylor; Cork, Ki Sung-Yueng; Shelvey, Sigurdsson, Ayew; Gomis",chimas2010,2015-09-26 14:00:29,1443276029942,,en
Watching Southampton - Swansea and  Leicester - Arsenal #BPL,StiviGi8,2015-09-26 14:00:30,1443276030693,,en
@SwansOfficial 2-1 Swansea. Gomis and Shelvey score,XaniTrip,2015-09-26 14:00:31,1443276031098,,en
Southampton vs. Swansea: Game started!,SwanseaPro,2015-09-26 14:00:49,1443276049173,,en
LIVE: Southampton v Swansea http://t.co/5f9AotZDij http://t.co/YSjq4fIsoF,goal_intl,2015-09-26 14:00:34,1443276034497,,en
LIVE: Southampton v Swansea http://t.co/22nw45y4VU,SanozaSport,2015-09-26 14:00:35,1443276035082,,en
"Southampton VS Swansea

Live Stream : http://t.co/zcPjDhRERp

ftblsk6 #SaintsFC #Swans #WeMarchOn #Stoptober #SOUSWA #GlobalSwans",Morinternet,2015-09-26 14:00:35,1443276035942,,en
"The sun is shining, it's Frankie's birthday, it's match day and Swansea tonight😍🎉 #cheersthen 🍻🍻",lauraturp,2015-09-26 14:00:37,1443276037688,,en
gotta change trains at Southampton... weirrddddd,PaigeJannay,2015-09-26 14:00:39,1443276039547,,en
"KICK-OFF | 
Man United - Sunderland
Leicester - Arsenal
Liverpool - Aston Villa
West Ham - Norwich
Southampton - Swansea
Stoke - Bournemouth",433LIVE,2015-09-26 14:00:41,1443276041087,,en
"Tonight we are open as usual with DJ Steve-O on the decks! Drop us a message for G'list!

#Southampton http://t.co/FUQnppmNtl",orangerooms,2015-09-26 14:00:43,1443276043779,,en
"¡KICK OFF!

Leicester v Arsenal
Liverpool v Aston Villa
Man United v Sunderland
Southampton v Swnsea
Stoke v Bournemouth
West Ham v Norwich",ReinoPremier,2015-09-26 14:00:46,1443276046610,,en
"Inician los partidos!!

Leicester - Arsenal
West Ham - Norwich
Stoke - Bournemouth
Man United - Sunderland
Soton - Swansea
Liverpool - Villa",FutboolFichajes,2015-09-26 14:00:47,1443276047620,,en
"Inician los partidos!!

Leicester - Arsenal
West Ham - Norwich
Stoke - Bournemouth
Man United - Sunderland
Soton - Swansea
Liverpool - Villa",Juegue_Balon,2015-09-26 14:00:47,1443276047618,,en
Garry Monk hails bargain buy Jack Cork ahead of midfielder's Southampton return - http://t.co/7ncJgJH9yn http://t.co/6JDFPHJye1,IsFearrAnStar,2015-09-26 14:00:49,1443276049191,,en
Southampton vs. Swansea: Game started!,SouthamptonPro,2015-09-26 14:00:50,1443276050477,,en
"COMIENZAN LOS PARTIDOS:
* Leicester v Arsenal
* Man. Utd v Sunderland
* Liverpool v A. Villa
* Southampton v Swansea
* West Ham v Norwich",PremierLatina,2015-09-26 14:00:52,1443276052844,,en
Southampton vs Swansea City Live Stream http://t.co/gBPHewvwLx,HDStreamsNet,2015-09-26 14:00:53,1443276053033,,en
"INICIAN:

LFC 0-0 Aston Villa.
Soton 0-0 Swansea.
West Ham 0-0 Norwich.

#EPL.",DebateGoleador,2015-09-26 14:00:53,1443276053309,,en
LIVE: Southampton v Swansea: The Saints have started in poor form this season and will be hoping to arrest tha... http://t.co/RAR7wALMXq,arfin_14,2015-09-26 14:00:54,1443276054276,,en
"1'
#Soton 0-0 #Swansea
#Stoke 0-0 #Bournemouth
#WestHam 0-0 #Norwich
#ManUtd 0-0 #Sunderland
#Leicester 0-0 #Arsenal
#Liverpool 0-0 #Villa",ProyectoPremier,2015-09-26 14:00:54,1443276054512,,und
En juego: Southampton 0-0 Swansea #Premier (J7),TodoFutbolEur,2015-09-26 14:00:54,1443276054799,,es
Premier League: Início: Southampton 0x0 Swansea.,placar_futebol,2015-09-26 14:00:56,1443276056145,,sk
arsenal v leicester and southampton vs swansea🔥🔥🔥🔥🔥 lets gooo #bplonnbc,mikegilday11,2015-09-26 14:00:58,1443276058418,,en
"Kick-off in all six of the 3pm matches... 

#LEIARS
#LIVAVL
#MNUSUN
#SOUSWA
#STKBOU
#WHUNOR

#BPL",TheSunFootball,2015-09-26 14:01:00,1443276060464,,en
"@wrongsideofpond Southampton v Swansea will be the match of the day, mark my words",Bryan_Speaks,2015-09-26 14:01:00,1443276060856,,en
Domiciliary Care Worker - Southampton - #care #jobs #jobsearch from Poole Together - Salary: £7.50 to £8.50 - http://t.co/TcHhW8N9gq,RecruitTogether,2015-09-26 14:01:01,1443276061626,,en
Domiciliary Care Worker - Southampton - #care #jobs #jobsearch from Poole Together - Salary: £7.50 to £8.50 - http://t.co/5MFfz9i3fP,Poole_Together,2015-09-26 14:01:06,1443276066128,,en
FC Southampton - Swansea City -:- (0:0) Beginn 1. Halbzeit #SOUSWA http://t.co/ydaf5kVBbM,kicker_ENG,2015-09-26 14:01:06,1443276066744,,de
They've started! Start of the Southampton-Swansea match!,sportytrader,2015-09-26 14:01:08,1443276068550,,en
Lets go .... #swans #saintsfc #SOUSWA,swansnews,2015-09-26 14:01:09,1443276069073,,en
Kick-Off! FC Southampton vs Swansea City - Livescore 0-0 #England #PremierLeague http://t.co/hqO5QCZNm8,Oventa_UK,2015-09-26 14:01:10,1443276070431,,en
"¡YA SE JUEGA!

Leicester - Arsenal
West Ham - Norwich
Stoke - Bournemouth
Man United - Sunderland
Soton - Swansea
Liverpool - Villa
#BPL",FutbooIFlchajes,2015-09-26 14:01:10,1443276070488,,en
Maç başladı! Southampton ile Swansea City karşılaşıyor,sahadanskor,2015-09-26 14:01:10,1443276070649,,tr
"KICK OFF!
#MUNSUN 0-0
#LEIARS 0-0
#LIVASV 0-0
#SOUSWA 0-0
#STKBOU 0-0
#WHUNOR 0-0",TotalPremier,2015-09-26 14:01:15,1443276075939,,en
#SaintsFC v Swansea http://t.co/wlLKvpBTLJ http://t.co/wnMKrFxuns,samhilary,2015-09-26 14:01:16,1443276076676,,en
#SOUSWA #Southampton #Swansea #EPL #PS4 #FIFA16 http://t.co/dicQRQQe0f,JohnnyDGaming,2015-09-26 14:01:18,1443276078974,,und
Here we go again @SouthamptonFC v @SwansOfficial - lovely afternoon for football at St Marys #SOUSWA,JuliePMartin,2015-09-26 14:01:19,1443276079966,,en
#PremierLeague | Arranca el partido entre #Southampton y #Swansea,alerta_gol,2015-09-26 14:01:20,1443276080242,,es
.@camsmith9 and @PaulGallen13 picking #shfc to beat #SWANS on #SOUSWA #BPL Agree/Disagree? Take them on @sportnutsapp,sportnutsapp,2015-09-26 14:01:20,1443276080536,,en
